Title,Company,Location,Link
[플러스엑스] 웹개발(PHP/Python/백엔드) 채용 공고,플러스엑스(주),서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37605927&location=ts&searchword=python&searchType=search&paid_fl=n
"웹개발(백엔드, Python, 프론트엔드 외 2개 부문) 채용",(주)닥터링고,서울 서초구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37861447&location=ts&searchword=python&searchType=search&paid_fl=n
IoT/빅데이터 관련 웹 솔루션 개발자(java/python) 모집,(주) 유비벨록스 모바일,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37664614&location=ts&searchword=python&searchType=search&paid_fl=n
[신입/정규] 광고 솔루션 개발 (Python)모집/코딩테스트 있음,(주)니트머스,서울 중구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37686212&location=ts&searchword=python&searchType=search&paid_fl=n
(주)앰진시큐러스 백엔드 개발자 모집(Python / Java / C / C++),앰진시큐러스,서울 송파구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37883495&location=ts&searchword=python&searchType=search&paid_fl=n
웹개발(Java·JSP/Python/프론트엔드 외 1개 부문) 채용,케이에스이씨(주),서울 강서구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37872719&location=ts&searchword=python&searchType=search&paid_fl=n
어플 앱개발자(아이폰/안드로이드) / 웹개발자(PHP/Python) 채용,㈜아띠소프트,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37687417&location=ts&searchword=python&searchType=search&paid_fl=n
[이커머스 스타트업] 고객분석 데이터분석 모집(Python GA),(주)온누리아이코리아,서울 용산구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37678603&location=ts&searchword=python&searchType=search&paid_fl=n
"JAVA,PYTHON 개발자(신업/경력직) 정기 모집",안심생활 협동조합,서울 영등포구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37888094&location=ts&searchword=python&searchType=search&paid_fl=n
파이썬 Python 개발자 모집,(주)인섹시큐리티,서울 금천구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37862545&location=ts&searchword=python&searchType=search&paid_fl=n
IoT/빅데이터 웹 솔루션 개발자(java/python) 모집,(주) 유비벨록스 모바일,서울 구로구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37904069&location=ts&searchword=python&searchType=search&paid_fl=n
[정규직] Java/Python Backend/머신러닝(ML) 엔지니어,(주)마인즈앤컴퍼니,서울 강남구,http://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=37816011&location=ts&searchword=python&searchType=search&paid_fl=n
